"['1', '2', 20, 'U', 1, 36.0, 0]"
"['2', '2', 20, 'U', -1, 46.0, 0]"
"['3', '2', 20, 'U', 1, 3.25, 0]"
"['4', '2', 20, 'S', 1, 33.25, 0]"
"['5', '2', 20, 'U', -1, 11.25, 0]"
"['6', '2', 20, 'U', -1, 24.75, 0]"
"['7', '2', 20, 'S', 1, 22.75, 0]"
"['8', '2', 20, 'U', 1, 39.75, 0]"
"['9', '2', 20, 'U', 1, 2.25, 0]"
"['10', '2', 20, 'U', 1, 42.5, 0]"
"['11', '2', 32, 'U', 1, 74.0, 0]"
"['12', '2', 32, 'U', 1, 224.5, 0]"
"['13', '2', 32, 'U', -1, 88.5, 0]"
"['14', '2', 32, 'U', -1, 94.75, 0]"
"['15', '2', 32, 'U', 1, 64.75, 0]"
"['16', '2', 32, 'U', 1, 24.5, 0]"
"['17', '2', 32, 'U', -1, 86.0, 0]"
"['18', '2', 32, 'U', 1, 35.5, 0]"
"['19', '2', 32, 'U', -1, 84.0, 0]"
"['20', '2', 32, 'U', -1, 21.25, 0]"
