"['1', '2', 20, 'U', 1, 154.0]"
"['2', '2', 20, 'S', 1, 142.5, '0', '1', '1', '1']"
"['3', '2', 20, 'U', 1, 121.75]"
"['4', '2', 20, 'S', 1, 87.5, '1']"
"['5', '2', 20, 'S', 1, 56.25, '0', '0', '1', '1']"
"['6', '2', 20, 'S', 1, 184.5, '1', '1', '0', '1']"
"['7', '2', 20, 'S', 1, 60.25, '0', '0', '1']"
"['8', '2', 20, 'U', 1, 136.75]"
"['9', '2', 20, 'U', 1, 122.5]"
"['10', '2', 20, 'U', 1, 163.5]"
"['11', '2', 32, 'U', 1, 2502.25]"
"['12', '2', 32, 'U', 1, 1863.5]"
"['13', '2', 32, 'S', 1, 728.0, '1', '0', '0', '0', '1', '0', '1']"
"['14', '2', 32, 'S', 1, 1026.5, '0', '1', '0', '0', '1', '1', '1', '1']"
"['15', '2', 32, 'U', 1, 2351.0]"
"['16', '2', 32, 'U', 1, 2153.0]"
"['17', '2', 32, 'S', 1, 736.0, '1', '0', '0', '0', '0', '0', '1']"
"['18', '2', 32, 'U', 1, 1834.25]"
"['19', '2', 32, 'S', 1, 530.25, '0', '1', '0', '0', '0', '1', '1']"
"['20', '2', 32, 'S', 1, 939.5, '1', '0', '1', '0', '1', '1', '1', '1']"
"['21', '2', 48, 'S', 1, 3754.0, '0', '0', '0', '1', '1', '0', '1', '0', '1', '1', '0', '1']"
"['22', '2', 48, 'S', 1, 417.0, '0', '0', '0', '0', '0', '0', '0', '1', '1', '1']"
"['23', '2', 48, 'U', 1, 12396.25]"
"['24', '2', 48, 'U', 1, 27447.25]"
"['25', '2', 48, 'S', 1, 1006.5, '0', '0', '0', '0', '1', '1', '0', '1', '1', '1', '1']"
"['26', '2', 48, 'U', 1, 25868.0]"
"['27', '2', 48, 'U', 1, 24998.25]"
"['28', '2', 48, 'S', 1, 21009.75, '1', '0', '1', '0', '1', '0', '0', '0', '0', '1', '1', '1']"
"['29', '2', 48, 'U', 1, 21911.5]"
"['30', '2', 48, 'S', 1, 4579.5, '0', '0', '1', '1', '0', '1', '1', '1', '1', '1', '1']"
"['31', '2', 64, 'S', 1, 3327.75, '0', '0', '0', '1', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '1']"
"['32', '2', 64, 'U', 1, 194937.75]"
"['33', '2', 64, 'S', 1, 109396.75, '0', '1', '0', '1', '0', '1', '0', '1', '1', '0', '0', '1', '1', '1', '1', '1']"
"['34', '2', 64, 'S', 1, 39188.0, '0', '1', '0', '1', '1', '0', '0', '0', '0', '1', '0', '0', '1', '1', '1', '1']"
"['35', '2', 64, 'U', 1, 66929.25]"
"['36', '2', 64, 'S', 1, 94488.75, '0', '1', '0', '1', '0', '0', '1', '1', '1', '1', '0', '1', '0', '1', '1', '1']"
"['37', '2', 64, 'U', 1, 98553.5]"
"['38', '2', 64, 'U', 1, 507652.5]"
"['39', '2', 64, 'S', 1, 133880.5, '1', '0', '1', '1', '0', '0', '1', '0', '0', '0', '1', '1', '0', '0', '1']"
"['40', '2', 64, 'U', 1, 261872.25]"
